School,Nickname,City,State/Province,Conference,Note
Purdue University Northwest,Pride,Hammond,Indiana,Great Lakes Intercollegiate Athletic Conference,
Queens University of Charlotte,Royals,Charlotte,North Carolina,South Atlantic Conference,
Queens College,Knights,Flushing,New York,East Coast Conference,
Quincy University,Hawks,Quincy,Illinois,Great Lakes Valley Conference,
Regis University,Rangers,Denver,Colorado,Rocky Mountain Athletic Conference,
Roberts Wesleyan College,Redhawks,North Chili,New York,East Coast Conference,
Rockhurst University,Hawks,Kansas City,Missouri,Great Lakes Valley Conference,
Rogers State University,Hillcats,Claremore,Oklahoma,Heartland Conference,[m]
Rollins College,Tars,Winter Park,Florida,Sunshine State Conference,
Saginaw Valley State University,Cardinals,University Center,Michigan,Great Lakes Intercollegiate Athletic Conference,
Saint Anselm College,Hawks,Goffstown,New Hampshire,Northeast-10 Conference,
St. Edward's University,Hilltoppers,Austin,Texas,Heartland Conference,[c]
Saint Leo University,Lions,St. Leo,Florida,Sunshine State Conference,
Saint Martin's University,Saints,Lacey,Washington,Great Northwest Athletic Conference,
St. Mary's University,Rattlers,San Antonio,Texas,Heartland Conference,[c]
Saint Michael's College,Purple Knights,Colchester,Vermont,Northeast-10 Conference,
College of Saint Rose,Golden Knights,Albany,New York,Northeast-10 Conference,
St. Thomas Aquinas College,Spartans,Sparkill,New York,East Coast Conference,
Salem University,Tigers,Salem,West Virginia,Independent,
San Francisco State University,Gators,San Francisco,California,California Collegiate Athletic Association,
Seattle Pacific University,Falcons,Seattle,Washington,Great Northwest Athletic Conference,
Seton Hill University,Griffins,Greensburg,Pennsylvania,Pennsylvania State Athletic Conference,
Shaw University,Bears,Raleigh,North Carolina,Independent,[n]
Shepherd University,Rams,Shepherdstown,West Virginia,Mountain East Conference,[o]
Shippensburg University of Pennsylvania,Red Raiders,Shippensburg,Pennsylvania,Pennsylvania State Athletic Conference,
Shorter University,Hawks,Rome,Georgia,Gulf South Conference,
Simon Fraser University,Clan,Burnaby,British Columbia,Great Northwest Athletic Conference,
Slippery Rock University of Pennsylvania,The Rock,Slippery Rock,Pennsylvania,Pennsylvania State Athletic Conference,
Sonoma State University,Seawolves,Rohnert Park,California,California Collegiate Athletic Association,
University of South Carolina Aiken,Pacers,Aiken,South Carolina,Peach Belt Conference,
South Dakota School of Mines and Technology,Hardrockers,Rapid City,South Dakota,Rocky Mountain Athletic Conference,
Southern Connecticut State University,Fighting Owls,New Haven,Connecticut,Northeast-10 Conference,
University of Southern Indiana,Screaming Eagles,Evansville,Indiana,Great Lakes Valley Conference,
Southern Nazarene University,Crimson Storm,Bethany,Oklahoma,Great American Conference,
Southern New Hampshire University,Penmen,Manchester,New Hampshire,Northeast-10 Conference,
Southern Wesleyan University,Warriors,Central,South Carolina,Conference Carolinas,
Southwest Baptist University,Bearcats,Bolivar,Missouri,Mid-America Intercollegiate Athletics Association,[p]
Spring Hill College,Badgers,Mobile,Alabama,Gulf South Conference,[q]
Stonehill College,Skyhawks,Easton,Massachusetts,Northeast-10 Conference,
University of Tampa,Spartans,Tampa,Florida,Sunshine State Conference,
Texas A&M International University,Dustdevils,Laredo,Texas,Heartland Conference,[c]
University of Texas of the Permian Basin,Falcons,Odessa,Texas,Heartland Conference,[r][f]
Thomas Jefferson University,Rams,Philadelphia,Pennsylvania,Central Atlantic Collegiate Conference,
